Lugar;Espacialidade;"COD IBGE";"IDHM (2010)"
Brasil;País;--;0,727
"São Caetano do Sul (SP)";Município;354880;0,862
"Águas de São Pedro (SP)";Município;350060;0,854
"Florianópolis (SC)";Município;420540;0,847
"Balneário Camboriú (SC)";Município;420200;0,845
"Vitória (ES)";Município;320530;0,845
"Santos (SP)";Município;354850;0,840
"Niterói (RJ)";Município;330330;0,837
"Joaçaba (SC)";Município;420900;0,827
"Brasília (DF)";Município;530010;0,824
"Curitiba (PR)";Município;410690;0,823
"Jundiaí (SP)";Município;352590;0,822
"Valinhos (SP)";Município;355620;0,819
"Vinhedo (SP)";Município;355670;0,817
"Araraquara (SP)";Município;350320;0,815
"Santo André (SP)";Município;354780;0,815
"Santana de Parnaíba (SP)";Município;354730;0,814
"Nova Lima (MG)";Município;314480;0,813
"Ilha Solteira (SP)";Município;352044;0,812
"Americana (SP)";Município;350160;0,811
"Belo Horizonte (MG)";Município;310620;0,810
"Joinville (SC)";Município;420910;0,809
"São José (SC)";Município;421660;0,809
"Maringá (PR)";Município;411520;0,808
"São José dos Campos (SP)";Município;354990;0,807
"Blumenau (SC)";Município;420240;0,806
"Presidente Prudente (SP)";Município;354140;0,806
"Rio Fortuna (SC)";Município;421490;0,806
"Assis (SP)";Município;350400;0,805
"Campinas (SP)";Município;350950;0,805
"Porto Alegre (RS)";Município;431490;0,805
"São Bernardo do Campo (SP)";Município;354870;0,805
"São Carlos (SP)";Município;354890;0,805
"São Paulo (SP)";Município;355030;0,805
"Jaraguá do Sul (SC)";Município;420890;0,803
"Rio Claro (SP)";Município;354390;0,803
"Rio do Sul (SC)";Município;421480;0,802
"Bauru (SP)";Município;350600;0,801
"Pirassununga (SP)";Município;353930;0,801
"São Miguel do Oeste (SC)";Município;421720;0,801
"Botucatu (SP)";Município;350750;0,800
"Concórdia (SC)";Município;420430;0,800
"Ribeirão Preto (SP)";Município;354340;0,800
"Taubaté (SP)";Município;355410;0,800
"Vila Velha (ES)";Município;320520;0,800
"Goiânia (GO)";Município;520870;0,799
"Rio de Janeiro (RJ)";Município;330455;0,799
"Guaratinguetá (SP)";Município;351840;0,798
"Marília (SP)";Município;352900;0,798
"Sorocaba (SP)";Município;355220;0,798
"Fernandópolis (SP)";Município;351550;0,797
"São João da Boa Vista (SP)";Município;354910;0,797
"São José do Rio Preto (SP)";Município;354980;0,797
"Carlos Barbosa (RS)";Município;430480;0,796
"Itapema (SC)";Município;420830;0,796
"Tubarão (SC)";Município;421870;0,796
"Brusque (SC)";Município;420290;0,795
"Iomerê (SC)";Município;420757;0,795
"Itajaí (SC)";Município;420820;0,795
"Paulínia (SP)";Município;353650;0,795
"Treze Tílias (SC)";Município;421850;0,795
"Holambra (SP)";Município;351905;0,793
"Ipiranga do Sul (RS)";Município;431046;0,791
"Nova Odessa (SP)";Município;353340;0,791
"Quatro Pontes (PR)";Município;412085;0,791
"Saltinho (SP)";Município;354515;0,791
"Três Arroios (RS)";Município;432163;0,791
"Adamantina (SP)";Município;350010;0,790
"Chapecó (SC)";Município;420420;0,790
"Santa Cruz da Conceição (SP)";Município;354620;0,790
"Votuporanga (SP)";Município;355710;0,790
"Barretos (SP)";Município;350550;0,789
"Cândido Rodrigues (SP)";Município;351010;0,789
"Lagoa dos Três Cantos (RS)";Município;431127;0,789
"Luzerna (SC)";Município;421003;0,789
"Uberlândia (MG)";Município;317020;0,789
"Araçatuba (SP)";Município;350280;0,788
"Barra Bonita (SP)";Município;350530;0,788
"Caçapava (SP)";Município;350850;0,788
"Criciúma (SC)";Município;420460;0,788
"Cruzeiro (SP)";Município;351340;0,788
"Fernando de Noronha (PE)";Município;260545;0,788
"Indaiatuba (SP)";Município;352050;0,788
"Mairiporã (SP)";Município;352850;0,788
"Palmas (TO)";Município;172100;0,788
"Espírito Santo do Pinhal (SP)";Município;351518;0,787
"Itajubá (MG)";Município;313240;0,787
"Barueri (SP)";Município;350570;0,786
"Garibaldi (RS)";Município;430860;0,786
"Lins (SP)";Município;352710;0,786
"Pompéia (SP)";Município;354000;0,786
"Porto União (SC)";Município;421360;0,786
"Amparo (SP)";Município;350190;0,785
"Casca (RS)";Município;430490;0,785
"Catanduva (SP)";Município;351110;0,785
"Cuiabá (MT)";Município;510340;0,785
"Monte Aprazível (SP)";Município;353140;0,785
"Nova Araçá (RS)";Município;431280;0,785
"Piracicaba (SP)";Município;353870;0,785
"Tremembé (SP)";Município;355480;0,785
"Arujá (SP)";Município;350390;0,784
"Campo Grande (MS)";Município;500270;0,784
"Ivoti (RS)";Município;431080;0,784
"Jaguariúna (SP)";Município;352470;0,784
"Moji Mirim (SP)";Município;353080;0,784
"Ribeirão Pires (SP)";Município;354330;0,784
"Salto Veloso (SC)";Município;421540;0,784
"Santa Fé do Sul (SP)";Município;354660;0,784
"Santa Maria (RS)";Município;431690;0,784
"Timbó (SC)";Município;421820;0,784
"Horizontina (RS)";Município;430960;0,783
"Mogi das Cruzes (SP)";Município;353060;0,783
"Pinhalzinho (SC)";Município;421290;0,783
"Cascavel (PR)";Município;410480;0,782
"Caxias do Sul (RS)";Município;430510;0,782
"Cerquilho (SP)";Município;351150;0,782
"Lavras (MG)";Município;313820;0,782
"Pato Branco (PR)";Município;411850;0,782
"São Bento do Sul (SC)";Município;421580;0,782
"Águas da Prata (SP)";Município;350040;0,781
"Araras (SP)";Município;350330;0,781
"Bombinhas (SC)";Município;420245;0,781
"Caieiras (SP)";Município;350900;0,781
"Ijuí (RS)";Município;431020;0,781
"Lacerdópolis (SC)";Município;420920;0,781
"Maravilha (SC)";Município;421050;0,781
"Santa Bárbara D'Oeste (SP)";Município;354580;0,781
"Santo Amaro da Imperatriz (SC)";Município;421570;0,781
"Bebedouro (SP)";Município;350610;0,780
"Birigui (SP)";Município;350650;0,780
"Boituva (SP)";Município;350700;0,780
"Braço do Trombudo (SC)";Município;420285;0,780
"Cocal do Sul (SC)";Município;420425;0,780
"Corupá (SC)";Município;420450;0,780
"Cotia (SP)";Município;351300;0,780
"Franca (SP)";Município;351620;0,780
"Nova Petrópolis (RS)";Município;431320;0,780
"Orlândia (SP)";Município;353430;0,780
"Pomerode (SC)";Município;421320;0,780
"Salto (SP)";Município;354520;0,780
"Vista Alegre do Prata (RS)";Município;432360;0,780
"Andradina (SP)";Município;350210;0,779
"Piratininga (SP)";Município;353940;0,779
"Poços de Caldas (MG)";Município;315180;0,779
"Seara (SC)";Município;421750;0,779
"Bento Gonçalves (RS)";Município;430210;0,778
"Braço do Norte (SC)";Município;420280;0,778
"Itatiba (SP)";Município;352340;0,778
"Jaboticabal (SP)";Município;352430;0,778
"Jaú (SP)";Município;352530;0,778
"Juiz de Fora (MG)";Município;313670;0,778
"Lajeado (RS)";Município;431140;0,778
"Londrina (PR)";Município;411370;0,778
"Nova Bréscia (RS)";Município;431300;0,778
"Ourinhos (SP)";Município;353470;0,778
"Tietê (SP)";Município;355450;0,778
"Varginha (MG)";Município;317070;0,778
"Farroupilha (RS)";Município;430790;0,777
"Indaial (SC)";Município;420750;0,777
"Jacareí (SP)";Município;352440;0,777
"José Bonifácio (SP)";Município;352570;0,777
"Lagoa Santa (MG)";Município;313760;0,777
"Louveira (SP)";Município;352730;0,777
"Mafra (SC)";Município;421010;0,777
"Pinheiro Preto (SC)";Município;421300;0,777
"Sarandi (RS)";Município;432010;0,777
"Selbach (RS)";Município;432030;0,777
"Victor Graeff (RS)";Município;432320;0,777
"Araçoiaba da Serra (SP)";Município;350290;0,776
"Bragança Paulista (SP)";Município;350760;0,776
"Dracena (SP)";Município;351440;0,776
"Erechim (RS)";Município;430700;0,776
"Iracemápolis (SP)";Município;352140;0,776
"Itaú de Minas (MG)";Município;313375;0,776
"Jales (SP)";Município;352480;0,776
"Osasco (SP)";Município;353440;0,776
"Passo Fundo (RS)";Município;431410;0,776
"Pirapozinho (SP)";Município;353920;0,776
"Ceres (GO)";Município;520540;0,775
"Itapiranga (SC)";Município;420840;0,775
"Limeira (SP)";Município;352690;0,775
