"Município","X2016.x","X2016.y"
"110000 Município ignorado - RO","2","-"
"110001 Alta Floresta D'Oeste","326","5"
"110002 Ariquemes","1662","26"
"110003 Cabixi","73","-"
"110004 Cacoal","1338","17"
"110005 Cerejeiras","263","3"
"110006 Colorado do Oeste","223","1"
"110007 Corumbiara","139","3"
"110008 Costa Marques","213","4"
"110009 Espigão D'Oeste","486","7"
"110010 Guajará-Mirim","884","16"
"110011 Jaru","807","10"
"110012 Ji-Paraná","1976","20"
"110013 Machadinho D'Oeste","398","7"
"110014 Nova Brasilândia D'Oeste","276","1"
"110015 Ouro Preto do Oeste","582","7"
"110018 Pimenta Bueno","601","6"
"110020 Porto Velho","8611","134"
"110025 Presidente Médici","276","5"
"110026 Rio Crespo","35","1"
"110028 Rolim de Moura","855","9"
"110029 Santa Luzia D'Oeste","114","1"
"110030 Vilhena","1427","20"
"110032 São Miguel do Guaporé","337","4"
"110033 Nova Mamoré","411","5"
"110034 Alvorada D'Oeste","166","-"
"110037 Alto Alegre dos Parecis","168","-"
"110040 Alto Paraíso","220","6"
"110045 Buritis","624","6"
"110050 Novo Horizonte do Oeste","95","-"
"110060 Cacaulândia","67","-"
"110070 Campo Novo de Rondônia","162","1"
"110080 Candeias do Jamari","372","6"
"110090 Castanheiras","55","3"
"110092 Chupinguaia","153","2"
"110094 Cujubim","241","2"
"110100 Governador Jorge Teixeira","112","1"
"110110 Itapuã do Oeste","129","1"
"110120 Ministro Andreazza","93","-"
"110130 Mirante da Serra","148","2"
"110140 Monte Negro","173","2"
"110143 Nova União","90","1"
"110145 Parecis","50","-"
"110146 Pimenteiras do Oeste","34","1"
"110147 Primavera de Rondônia","56","-"
"110148 São Felipe D'Oeste","54","-"
"110149 São Francisco do Guaporé","305","4"
"110150 Seringueiras","171","1"
"110155 Teixeirópolis","59","-"
"110160 Theobroma","131","-"
"110170 Urupá","151","-"
"110175 Vale do Anari","110","3"
"110180 Vale do Paraíso","98","3"
"120000 Município ignorado - AC","-","-"
"120001 Acrelândia","222","-"
"120005 Assis Brasil","190","8"
"120010 Brasiléia","490","14"
"120013 Bujari","248","1"
"120017 Capixaba","194","5"
"120020 Cruzeiro do Sul","1632","16"
"120025 Epitaciolândia","270","6"
"120030 Feijó","834","19"
"120032 Jordão","263","3"
"120033 Mâncio Lima","325","2"
"120034 Manoel Urbano","236","6"
"120035 Marechal Thaumaturgo","352","6"
"120038 Plácido de Castro","339","2"
"120039 Porto Walter","230","2"
"120040 Rio Branco","6614","85"
"120042 Rodrigues Alves","304","10"
"120043 Santa Rosa do Purus","95","5"
"120045 Senador Guiomard","410","2"
"120050 Sena Madureira","762","16"
"120060 Tarauacá","1078","22"
"120070 Xapuri","329","6"
"120080 Porto Acre","356","3"
"130000 Município ignorado - AM","25","-"
"130002 Alvarães","325","9"
"130006 Amaturá","280","4"
"130008 Anamã","182","4"
"130010 Anori","266","4"
"130014 Apuí","211","3"
"130020 Atalaia do Norte","380","9"
"130030 Autazes","890","8"
"130040 Barcelos","496","33"
"130050 Barreirinha","810","16"
"130060 Benjamin Constant","1021","16"
"130063 Beruri","510","8"
"130068 Boa Vista do Ramos","312","3"
"130070 Boca do Acre","653","11"
"130080 Borba","663","13"
"130083 Caapiranga","183","1"
"130090 Canutama","217","5"
"130100 Carauari","625","14"
"130110 Careiro","481","6"
"130115 Careiro da Várzea","199","-"
"130120 Coari","1646","21"
"130130 Codajás","404","6"
"130140 Eirunepé","787","34"
"130150 Envira","369","13"
"130160 Fonte Boa","573","11"
"130165 Guajará","284","3"
"130170 Humaitá","977","15"
"130180 Ipixuna","389","9"
"130185 Iranduba","928","13"
"130190 Itacoatiara","2028","23"
"130195 Itamarati","263","4"
"130200 Itapiranga","187","2"
"130210 Japurá","150","3"
"130220 Juruá","175","4"
"130230 Jutaí","604","14"
"130240 Lábrea","652","20"
"130250 Manacapuru","1795","33"
"130255 Manaquiri","253","4"
"130260 Manaus","39603","506"
"130270 Manicoré","911","14"
"130280 Maraã","358","2"
"130290 Maués","1273","27"
"130300 Nhamundá","338","9"
"130310 Nova Olinda do Norte","587","12"
"130320 Novo Airão","289","2"
"130330 Novo Aripuanã","386","1"
"130340 Parintins","1932","41"
"130350 Pauini","348","6"
"130353 Presidente Figueiredo","548","7"
"130356 Rio Preto da Eva","415","10"
"130360 Santa Isabel do Rio Negro","305","9"
"130370 Santo Antônio do Içá","693","12"
"130380 São Gabriel da Cachoeira","1255","44"
"130390 São Paulo de Olivença","871","18"
"130395 São Sebastião do Uatumã","178","4"
"130400 Silves","208","2"
"130406 Tabatinga","1753","41"
"130410 Tapauá","389","8"
"130420 Tefé","1679","36"
"130423 Tonantins","363","5"
"130426 Uarini","264","4"
"130430 Urucará","265","5"
"130440 Urucurituba","299","1"
"140000 Município ignorado - RR","1","-"
"140002 Amajari","331","13"
